language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\FSharp.Compiler.Private.xml,247,0,33621
C/C++ Header,.\Engine\Dependencies\GLEW\include\GL\glew.h,4870,922,17894
INI,.\Engine\Dependencies\Mono\etc\mono\browscap.ini,3464,215,13300
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\FSharp.Core.xml,2842,0,12480
C++,.\Engine\Dependencies\Vendor\imgui\imgui.cpp,1728,2564,11914
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETFramework\v4.0\4.4.5.0\FSharp.Core.xml,556,0,11176
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETFramework\v4.0\4.4.1.0\FSharp.Core.xml,556,0,11133
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETFramework\v4.0\4.4.0.0\FSharp.Core.xml,557,0,10563
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.78.41.0\FSharp.Core.xml,538,0,10541
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETPortable\3.47.41.0\FSharp.Core.xml,545,0,10528
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.7.41.0\FSharp.Core.xml,546,0,10471
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.78.4.0\FSharp.Core.xml,536,0,10384
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETPortable\3.47.4.0\FSharp.Core.xml,543,0,10371
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.7.4.0\FSharp.Core.xml,544,0,10314
C++,.\Engine\Dependencies\Vendor\imgui\imguiOld.cpp,1595,1484,10292
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.78.3.1\FSharp.Core.xml,905,0,9937
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETFramework\v4.0\4.3.1.0\FSharp.Core.xml,823,0,9892
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETCore\3.3.1.0\FSharp.Core.xml,873,0,9780
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETPortable\2.3.5.1\FSharp.Core.xml,811,0,9722
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETFramework\v4.0\4.3.0.0\FSharp.Core.xml,806,0,9711
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\api\.NETPortable\2.3.5.0\FSharp.Core.xml,794,0,9541
XML,.\Engine\Dependencies\Mono\lib\ironpython\IronPython.xml,335,0,7217
C++,.\Engine\Dependencies\Vendor\imgui\imgui_widgets.cpp,1007,1012,6410
XML,.\Engine\Dependencies\Mono\lib\ironruby\Microsoft.Dynamic.xml,158,0,6372
C/C++ Header,.\Engine\Dependencies\Vendor\stb_image.h,867,1207,5797
C++,.\Engine\Dependencies\Vendor\imgui\imgui_demo.cpp,544,696,4606
XML,.\Engine\Dependencies\Mono\lib\ironruby\Microsoft.Scripting.xml,112,0,3700
